locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
751253,Pipo's Grill,Truck,5688000,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,3549083,3549,083,16MFF-0010,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers,6007856.719,2107724.046,37.7678524427181,-122.416104892532,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0010&ExportPDF=1&Filename=16MFF-0010_schedule.pdf,,,,2016-02-04,0,,"(37.7678524427181, -122.416104892532)"
519938,Bob Johnson,Truck,0,,Assessors Block 0733/Lot010,0733010,0733,010,14MFF-0009,EXPIRED,Watermelon,6003818.547,2113011.835,37.782143532929,-122.430449785949,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0009&ExportPDF=1&Filename=14MFF-0009_schedule.pdf,Mo-Su:10AM-7PM,,02/25/2014 12:00:00 AM,2014-02-25,1,03/15/2015 12:00:00 AM,"(37.782143532929, -122.430449785949)"
735318,Ziaurehman Amini,Push Cart,30727000,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,0234017,0234,017,15MFF-0159,REQUESTED,,6013916.72,2117244.027,37.7943310032468,-122.395811053023,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,,,2015-12-31,0,03/15/2016 12:00:00 AM,"(37.7943310032468, -122.395811053023)"
364218,The Chai Cart,Push Cart,9543000,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,3707014,3707,014,12MFF-0083,SUSPEND,Hot Indian Chai (Tea),6012504.312,2114926.774,37.7878896999061,-122.400535326777,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0083&ExportPDF=1&Filename=12MFF-0083_schedule.pdf,Mo-Su:7AM-6PM,,,2012-04-03,0,,"(37.7878896999061, -122.400535326777)"
519939,Bob Johnson,Truck,10979000,REVERE AVE: 03RD ST \ BAY VIEW ST to BRIDGEVIEW DR \ NEWHALL ST (1700 - 1799),1709 REVERE AVE,5343033,5343,033,14MFF-0009,EXPIRED,Watermelon,6014544.72,2094734.467,37.7325595789318,-122.392063194969,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0009&ExportPDF=1&Filename=14MFF-0009_schedule.pdf,Mo-Su:10AM-7PM,,02/25/2014 12:00:00 AM,2014-02-25,1,03/15/2015 12:00:00 AM,"(37.7325595789318, -122.392063194969)"
735315,Ziaurehman Amini,Push Cart,4969000,DRUMM ST: MARKET ST to CALIFORNIA ST (1 - 6),1 CALIFORNIA ST,0264004,0264,004,15MFF-0159,REQUESTED,,6013552.57,2116844.5,37.7932137316634,-122.397043036718,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,,,2015-12-31,0,03/15/2016 12:00:00 AM,"(37.7932137316634, -122.397043036718)"
773095,Athena SF Gyro,Push Cart,30747000,MARKET ST: 11TH ST intersection,10 SOUTH VAN NESS AVE,3506004,3506,004,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6006927.466,2110076.439,37.77425926306,-122.419485988398,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,We/Th/Fr:6AM-6PM,,,2015-09-01,0,,"(37.77425926306, -122.419485988398)"
773105,Athena SF Gyro,Push Cart,417000,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,3783009,3783,009,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6011509.501,2108803.834,37.7710219992437,-122.403546254184,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,Mo-We:6AM-6PM,,,2015-09-01,0,,"(37.7710219992437, -122.403546254184)"
848184,Reecees Soulicious,Truck,2799106,BAY SHORE BLVD: END to OAKDALE AVE (185 - 299) -- EAST --,201 BAY SHORE BLVD,5559021,5559,021,16MFF-0139,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,6011355.555,2099442.374,37.7453089086563,-122.403420059999,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0139&ExportPDF=1&Filename=16MFF-0139_schedule.pdf,Mo-We:7AM-7PM,,,2016-09-08,0,03/15/2017 12:00:00 AM,"(37.7453089086563, -122.403420059999)"
848185,Reecees Soulicious,Truck,211101,03RD ST: NEWCOMB AVE to OAKDALE AVE (4701 - 4799) -- EAST --,4705 03RD ST,5311036,5311,036,16MFF-0139,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,6015109.358,2095613.38,37.7350042289514,-122.3901724697,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0139&ExportPDF=1&Filename=16MFF-0139_schedule.pdf,Th/Fr/Sa:7AM-7PM,,,2016-09-08,0,03/15/2017 12:00:00 AM,"(37.7350042289514, -122.3901724697)"
